"speaker_name","speaker_org_title","session_count"
"Charles Minshew","Senior Editor of Data Journalism at The Atlanta Journal-Constitution",4
"Martha Mendoza","FRONTLINE/PBS",4
"Aidan Hughes","Data Journalist, Howard Center for Investigative Journalism",3
"Andrew Lehren","Mongabay",3
"Cat Murphy","Data Reporter, Howard Center for Investigative Journalism @ UMD",3
"David Armiak","Research Director and Investigative Journalist, Center for Media and Democracy",3
"Derek Willis","University of Maryland",3
"Emma Carew Grovum","Kimbap Media",3
"Josh Hinkle","Director of Investigations & Innovation - KXAN",3
"Kate Howard","Reveal from The Center for Investigative Reporting",3
"Liz Lucas","Missouri School of Journalism",3
"Mc Nelly Torres","Independent Journalist, editor & forthcoming book author",3
"Sean Mussenden","Howard Center for Investigative Journalism",3
"Adam Rhodes","Investigative Reporters & Editors, Training Director and Managing Editor ",2
"Aline Behar Kado","University of Maryland",2
"Alison MacAdam","Freelance story editor",2
"Aliyya Swaby","ProPublica reporter",2
"Bethany Barnes","Tampa Bay Times",2
"Brian Howey","The Bell Project",2
"Carla Minet","Centro de Periodismo Investigativo",2
"Cheryl Phillips","Big Local News Founder/Lecturer, Stanford University",2
"Cheryl W. Thompson","Investigative Correspondent, NPR",2
"Cindy Galli","Director, Justice and Legal Reporting, MS NOW",2
"Clavel Rangel","Independent Journalist, Knight Wallace Fellow 26'",2
"Craig Silverman","Indicator",2
"David Cuillier","Brechner FOI Project, University of Florida",2
"Drew Sullivan","Co-Founder and Publisher, OCCRP",2
"Eli Cahan","Journalist / Physician, Rolling Stone / Stanford University",2
"Emilia Ruzicka","Independent Journalist",2
"Eric Lipton","The New York Times",2
"Ezana Ceman","Product Manager for Data Platforms, Organized Crime and Corruption Reporting Project",2
"Howard Berkes","Retired Correspondent, NPR Investigations; Chair, Governing Board, Public Health Watch",2
"James Grimaldi","Investigative Journalist",2
"Jane Sasseen","McGraw Center for Business Journalism ",2
"Jason Leopold","Bloomberg",2
"Jeff Hermes","Deputy Director, Media Law Resource Center",2
"Jodie Fleischer","Cox Media Group, Managing Editor of Investigative Content and Collaborations",2
"Katie Colaneri","Senior Editor of Podcasts, NHPR",2
"Kendall Taggart","Investigative Reporter, Bloomberg News",2
"Kevin Benz","Journalist and media consultant",2
"Laura Bennett","Director, The Center for Just Journalism",2
"Laura Geller","CBS News Investigative Unit",2
"Laura Moscoso","Investigative Reporters and Editors",2
"Lizzie Presser",NA,2
"Lynn Walsh","Assistant Director, Trusting News",2
"Mark Greenblatt","Howard Center for Investigative Journalism ASU",2
"Mark Horvit","University of Missouri",2
"Matt Goldberg","VP & News Director, CBS LA",2
"Michael Corey","Associate Director, Mapping Prejudice",2
"Najib Aminy","Reporter and producer, Reveal ",2
"Nicholas Whitaker","Chief Rebellion Officer for Rebellion Collective",2
"Nicole Foy","ProPublica investigative reporter",2
"Robert Cribb","Director, Investigative Journalism Bureau",2
"Rowan Philp","Global Investigative Journalism Network",2
"Sam Stockbridge","Elections & Investigations Reporter, Central Florida Public Media",2
"Scott Zamost","CNBC Senior Investigative Producer",2
"Sona Patel","Program and Editorial Director, Local Investigations Fellowship, The New York Times",2
"Spencer Woodman","The International Consortium of Investigative Journalists",2
"Taylor Giorno","Reporter at NOTUS covering all things money in politics.",2
"Ximena Bustillo","DHS + Immigration Correspondent",2
"Ximena Natera","Freelance visual journalist ",2
"A.J. Lagoe","KARE 11",1
"Aaron Kessler","The Associated Press, Investigative Data Journalist",1
"Aaron Leibowitz","Reporter, Miami Herald",1
"Aaron Patton","Solutions Architect, Everlaw",1
"Aarushi Sahejpal",NA,1
"Aarón Torres","politics and immigration reporter",1
"Adam Ganucheau","Executive editor and chief content officer, Deep South Today",1
"Adam Marton","Capital News Service Data and Graphics Bureau / University of Maryland",1
"Adelina Lancianese","Senior Producer, NPR's Embedded Podcast",1
"Adriana Navarro","Investigative and Data Journalist, Arizona Center for Investigative Reporting",1
"Agatha Khishchenko","CUNY Graduate School of Journalism",1
"Ainsley Martinez","NYC Local Editor, Patch",1
"Alaina Bookman","AL.com Reporter",1
"Alex Campbell","Business Investigations Editor, The New York Times",1
"Alexia Fernandez Campbell","Investigative Reporter, Bloomberg Law",1
"Alison Young","Senior National Reporter, Healthbeat",1
"Allya Davidson","Executive producer, the fifth estate, Canadian Broadcasting Corporation",1
"Alyssa Katz","Editor-in-Chief, The Forward",1
"Andrea Arzaba","GIJN",1
"Andy Pierrotti","Investigative Reporter, WANF-TV",1
"Angelica Mayor","Program Manager, International Women's Media Foundation",1
"Anna Massoglia","MuckRock, Editor",1
"Anna Nemzer","Kronika",1
"Annys Shin","ICIJ",1
